Timestamp,What year are you in,What is your age,What class are you in,What is your gender,How many languages do you speak? (digit entry),"What is the highest degree you plan to pursue?
","What is your major
",Are you a transfer student,Are you a first generation student,What is your current cumulative GPA?,How motivated are you to attend the lecture if it is 50 min long (3 times a week)?  (1: not motivated; 5 very motivated),How motivated are you to attend the lecture if it is 1h 20 min long (2 times a week)? (1: not motivated; 5 very motivated),How motivated are you to go to class if class participation is part of the grade? (1: not motivated; 5 very motivated),How motivated are you to go to class if there are no class activities in lecture? (1: not motivated; 5 very motivated),Do you prefer studying and/or working in groups? ,"When you miss lecture, what are the reasons for it?",How often do you tutor or help fellow peers? (1:Never; 2:Rarely; 3:Sometimes; 4:Often; 5:Almost every day),How many hours a day (on average) did you spend studying last week? (hours),"Which of the following student resources have you used this quarter?
","If you utilize the above student resources, how often do you use/attend such resources a week?","IN CS010C, how much did you enjoy doing labs? (scale of 1-5)","IN CS105, how much did you enjoy doing labs? (scale of 1-5)",Do you think that you would learn better if labs were due every other week rather than weekly?,Do labs help you prepare for exams?,Do lecture materials help you complete lab assignments?,How many hours a week do you spend working on material for CS111?,What is the level of anxiety you feel for the upcoming CS111 midterm?,How many hours a week do you spend working on material for CS105?,What is the level of anxiety you feel for the upcoming CS105 midterm?,7. Do you want weekly programming assignments for CS111 (similar to CS 010C or equivalent data structures classes)?,How many UCR affiliated student organizations are you involved with?,"Of the student organizations you are involved with, in how many of those clubs are you a board member?","Outside of time spent studying and in class, how many hours do you spend on campus a week?","How many on campus events did you attend (hosted by RHA, ASPB or ASUCR) since September 22nd?",Have you ever participated and/or been a part of a team that organizes a hackathon?,"If you've attended a hackathon, what do you do in them?
","What is your living situation?
","On average how long does it take you to get to campus?
",How stressed are you with your classes? (1: not stressed; 5: extremely stressed),How many hours do you sleep per night? (numeric answer),Are you a morning person or a night person?,How long do you exercise a day?,How many times a week do you work out?,"Where do you work out?
",Why do you work out?,When do you work out?,How many high school student organizations were you involved with?,"Did you complete high school in the United States? (If not, specify country)","If you were involved with sports in high school, how long did you play for in your school?",How many AP classes did you take in high school? (Numeric value),Have you applied to or completed one or more internships as a UCR student?,How important is money in your career choice?,Do you want to be involved in STEM-based research?,"Do you take advantage of career services offered by the university (e.g. resume building, mock interviews, job fairs, career center)","On a scale of 1-10, how confident are you in finding a career in the future?",Have you ever had a job during college?,"If you have or had an internship part-time job, or full-time job during the 2022-23 academic school year, how many hours a week on average did you work? (numeric values only; enter NA if you did not work)",Why did you pick your major?,"Do you want to change majors? If so, why?
","If you could go back in time to change your major, would you?","If you're in CS/CE/Data Science/related, why did you pick this path?
",How many hours do you volunteer in a week? (numeric answer),How many hours do you hang out with friends in a week? (numeric answer),How often do you go to parties in a quarter?,How often do you go to parties in a quarter?,How related to your non-academic hobbies do you want your dream job to be? (1: completely unrelated; 3:somewhat related; 5: completely related),Are you concerned about the growing use of AI? (1: not concerned; 5: very concerned),Do you use AI tools for your coursework (ex: ChatGPT),How likely are you to use AI tools for your future profession? (1: not likely; 5: very likely),What is your favorite movie genre?,How familiar are you with the concept of AI and it's applications? ,How many siblings do you have? (digit entry),How many units are you taking? (digit entry)
5/8/2023 22:44:26,2,19,CS111,Female,4,B.S.,CSBA,No,No,3.3-3.6,4,4,5,2,No,"Don't think it is useful to attend some lectures, Transportation issues, Feel like saving money when I only have one lecture",2,6-8,TA's office hours,once,3,N/A,Yes,Yes,Yes,4-8 hours,Not anxious,N/A,N/A,No,0,0,6,None,No,Haven't attended a hackathon,Off-campus housing outside of Riverside,above 60 minutes,4,6,Both,< 30 minutes,1,Home,To help have a consistent routine for me and my dog and help with sleep schedule,Morning,4,United States,4 years,3,Yes,10,Yes,No,4,Yes,24,Money,I want more experience in multiple fields,No,"More potential for higher salaries, Stable future",0,1,Never,Never,3,2,No,3,Horror,3,1,16
5/8/2023 22:50:35,1,18,CS111,Nonbinary,2,M.S.,Data Science,No,No,3.6-4.0,5,4,5,5,Sometimes,"Have other things to do, Too tired to go",2,2-4,TA's office hours,once,4,N/A,Yes,Yes,Yes,4-8 hours,N/A,N/A,N/A,No,,,,,,,First Year UCR Residence Halls,0-10 minutes,3,6,Night person,0 minutes,0,,,,,,,10,Yes,10,Yes,No,6,No,,Money,,,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries",,,,Never,,3,Yes,4,Fantasy,8,0,17
5/8/2023 22:52:25,2,19,CS105,Female,2,M.S.,CSBA,No,No,3.6-4.0,5,4,5,3,Yes,"Transportation issues, Have other things to do",4,8-10,"TA's office hours, Professor's office hours",once,3,4,Yes,Sometimes,Sometimes,N/A,N/A,2-4 hours,Somewhat anxious,N/A,2,1,40,7-9,Yes,Made a project,Off-campus housing within Riverside,10-20 minutes,4,6.5,Night person,more than 2 hours,6,School sport,On the school women's soccer team,Morning,3,United States,4 years,7,No,7,No,No,6,Yes,2,Passion,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,4,Somewhat (2-4 times a quarter),Somewhat (2-4 times a quarter),2,4,No,3,Adventure,3,1,13
5/8/2023 22:57:54,1,18,CS111,Male,2,M.S.,CS,No,No,3.6-4.0,5,4,5,5,Yes,Have other things to do,3,10+,TA's office hours,once,3,N/A,No,Yes,Yes,4-8 hours,Not anxious,N/A,N/A,No,1,0,3-4,None,No,Attended workshops,First Year UCR Residence Halls,0-10 minutes,4,6-7,Neither,< 30 minutes,1,Gym,just trying to stay active,Evening,1,United States,2 years,5,Yes,8,No,Yes,7,No,NA,Advice from family/friends,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,6,Never,Never,3,2,Yes,2,Fantasy,2,1,17
5/8/2023 23:08:48,2,19,CS111,Male,2,M.S.,Data Science,No,No,3.6-4.0,5,3,5,4,No,Sick,3,6-8,TA's office hours,over four times,1,N/A,Yes,No,Sometimes,10+ hours,Somewhat anxious,N/A,N/A,No,1,0,15,4-6,No,Both,Off-campus housing within Riverside,10-20 minutes,4,7,Morning person,1 hour,1,Outside,I feel extremely good after I work out.,Evening,1,United States,1 year,7,Yes,8,Yes,Yes,8,Yes,13,Money,Do not want to change majors,Yes,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,5,Rarely,Rarely,4,1,No,4,Comedy,4,1,13
5/8/2023 23:46:28,2,20,CS111,Female,2,B.S.,CSBA,No,No,3.6-4.0,2,4,4,4,Yes,"Don't think it is useful to attend some lectures, Sick, Family issues, Transportation issues, Feel like saving money when I only have one lecture",3,6-8,"TA's office hours, ULA",twice,1,1,No,Sometimes,Sometimes,10+ hours,Very anxious,N/A,N/A,No,1,1,0,None,No,Haven't attended a hackathon,Continuing Student UCR apartment,30-60 minutes,4,7,Morning person,< 30 minutes,1,Gym,for release stress and healthy,Afternoon,3,United States,Was not involved in HS sports,5,No,10,Yes,Yes,6,Yes,summer 40h/week,Pressure from family/friends,Do not want to change majors,No,More potential for higher salaries,0,4,Rarely,Rarely,3,5,Yes,3,Comedy,6,1,18
5/8/2023 23:53:27,2,20,CS111,Male,2,B.S.,CS,No,No,3.0-3.3,3,1,4,1,No,"Don't think it is useful to attend some lectures, Sick, Transportation issues",2,8-10,,I do not utilize the above resources,1,N/A,Yes,Sometimes,Yes,4-8 hours,Very anxious,N/A,N/A,No,2,0,5,None,Yes,Attended workshops,Off-campus housing outside of Riverside,20-30 minutes,4,8,Night person,2 hours,3,Gym,"physical and mental health, aesthetics",Afternoon,1,United States,Was not involved in HS sports,6,Yes,9,Yes,No,7,Yes,10,Pressure from family/friends,Do not want to change majors,Yes,"Jobs are in high demand, More potential for higher salaries, Stable future",0,6,Rarely,Rarely,5,3,No,1,Thriller,3,1,12
5/8/2023 23:58:20,2,20,CS111,Male,1,B.S.,CS,No,No,3.6-4.0,4,4,5,4,Not sure,unwell mentally,2,2-4,TA's office hours,once,3,N/A,No,No,Yes,1-2 hours,Somewhat anxious,N/A,N/A,No,2,1,4,1-3,Yes,Made a project,First Year UCR Residence Halls,0-10 minutes,4,7,Night person,< 30 minutes,1,Gym,To stay healthy,Morning,1,United States,Was not involved in HS sports,8,No,7,Yes,No,6,No,NA,Pressure from family/friends,no,No,"Jobs are in high demand, Stable future",0,4,Never,Never,1,4,No,3,Adventure,5,2,13
5/8/2023 23:58:57,1,19,CS111,Nonbinary,1.5,B.S.,CS,No,No,3.6-4.0,5,5,5,5,Sometimes,"Sick, Transportation issues, Have other things to do",3,10+,Professor's office hours,once,N/A,N/A,No,Sometimes,Yes,4-8 hours,Very anxious,N/A,N/A,Yes,3,1,50,None,Yes,Made a project,First Year UCR Residence Halls,0-10 minutes,3,8,Neither,1 hour,0,,,,2,United States,4 years,11,No,5,Yes,Yes,3,Yes,9,Passion,Do not want to change majors,Yes,You find topics in this field interesting,10,10,Never,Never,3,2,No,3,Comedy,7,1,18
5/9/2023 0:09:27,1,18,CS111,Male,1,PhD,CS,No,No,3.6-4.0,4,4,5,4,Yes,"Sick, Have other things to do",4,4-6,"TA's office hours, Professor's office hours",once,4,N/A,No,Yes,Sometimes,4-8 hours,Somewhat anxious,N/A,N/A,Yes,3,1,40,4-6,Yes,Both,First Year UCR Residence Halls,0-10 minutes,4,6,Night person,2 hours,5,Gym,"Feel stronger, look better",Evening,3,United States,4 years,12,No,9,Yes,Yes,9,No,NA,All of the above,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,20,Rarely,Rarely,2,1,No,4,Science Fiction,5,1,18
5/9/2023 0:13:10,1,18,CS111,Male,2,M.S.,CS,No,No,3.6-4.0,5,5,5,5,Sometimes,Sick,4,0-2,,I do not utilize the above resources,5,N/A,No,Sometimes,Sometimes,4-8 hours,Somewhat anxious,N/A,N/A,Yes,6,2,70,1-3,Yes,Both,First Year UCR Residence Halls,0-10 minutes,1,9,Night person,30 minutes,2,Outside,Because I weak,Evening,7,United States,Was not involved in HS sports,13,Yes,5,Yes,Yes,1,No,NA,Passion,Do not want to change majors,No,You find topics in this field interesting,1,21,Never,Never,4,1,Yes,3,Fantasy,6,1,23
5/9/2023 0:20:34,1,18,CS105,Male,2,M.S.,Data Science,No,No,3.6-4.0,3,4,5,4,Sometimes,"Don't think it is useful to attend some lectures, Sick, Have other things to do",2,4-6,TA's office hours,once,4,4,Yes,Sometimes,Yes,N/A,N/A,2-4 hours,Somewhat anxious,N/A,1,0,5,4-6,No,Attended workshops,First Year UCR Residence Halls,0-10 minutes,3,7,Both,1 hour,4,Gym,To get in shape and feel better about myself,Evening,2,United States,2 years,14,Yes,7,Yes,Yes,6,No,NA,Advice from family/friends,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,20,Rarely,Rarely,3,2,No,4,Action,5,1,17
5/9/2023 0:24:05,1,18,Both,Female,1,M.S.,CS,No,No,3.6-4.0,5,5,5,5,No,"Don't think it is useful to attend some lectures, Have other things to do",2,8-10,TA's office hours,twice,2,5,No,Yes,Yes,4-8 hours,Somewhat anxious,2-4 hours,Somewhat anxious,No,2,0,,None,Yes,Both,First Year UCR Residence Halls,0-10 minutes,4,8,Night person,0 minutes,0,,,,0,United States,4 years,12,No,8,Yes,Yes,8,No,,Advice from family/friends,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,0,Never,Never,1,1,No,2,Action,6,2,16
5/9/2023 0:45:08,1,18,CS111,Female,2,M.S.,CS,No,Yes,3.0-3.3,3,4,3,4,Yes,"Sick, Transportation issues, Have other things to do",3,10+,TA's office hours,twice,N/A,N/A,Yes,Yes,Yes,10+ hours,Very anxious,N/A,N/A,No,1,0,20+,1-3,No,Haven't attended a hackathon,Off-campus housing within Riverside,10-20 minutes,5,4,Night person,1 hour,3,Gym,to stay healthy and off my phone,Evening,2,United States,Was not involved in HS sports,10,No,10,Yes,Yes,5,Yes,11,Passion,Current major is too difficult,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,20,Rarely,Rarely,3,4,No,3,Thriller,6,1,16
5/9/2023 1:07:53,4,25,,Male,2,M.S.,CS,Yes,No,3.6-4.0,1,1,1,1,No,"Don't think it is useful to attend some lectures, Sick, Feel like saving money when I only have one lecture, Have other things to do",5,0,,I do not utilize the above resources,N/A,N/A,Yes,Yes,Yes,N/A,N/A,N/A,N/A,No,0,0,0,None,No,Haven't attended a hackathon,Off-campus housing outside of Riverside,20-30 minutes,1,8,Night person,< 30 minutes,1,Home,Health,Evening,3,United States,Was not involved in HS sports,5,No,7,Yes,No,5,Yes,8,Money,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,1,Rarely,Rarely,2,1,No,2,Action,8,1,12
5/9/2023 1:16:29,3,21,CS111,Male,1,M.S.,CS,Yes,No,3.6-4.0,4,4,5,4,Sometimes,"Sick, Family issues",2,4-6,TA's office hours,twice,N/A,N/A,Yes,Not sure,Not sure,2-4 hours,Somewhat anxious,N/A,N/A,No,0,0,24,10+,Yes,Both,First Year UCR Residence Halls,0-10 minutes,3,6,Night person,0 minutes,0,Home,,,3,United States,4 years,2,Yes,6,Yes,Yes,6,Yes,12,Passion,Do not want to change majors,No,"You find topics in this field interesting, More potential for higher salaries, Stable future",0,10,Never,Never,3,3,No,3,Comedy,8,0,12
5/9/2023 1:17:04,3,21,CS105,Male,1,B.S.,Data Science,No,Yes,3.3-3.6,3,2,5,2,Not sure,"Don't think it is useful to attend some lectures, Have other things to do",2,0-2,None,I do not utilize the above resources,1,1,Yes,No,No,N/A,N/A,1-2 hours,Somewhat anxious,N/A,None,None,0,None,No,Haven't attended a hackathon,Continuing Student UCR apartment,0-10 minutes,4,6,Night person,30 minutes,3,Gym,Feel better,Evening,0,United States,2 years,5,Yes,7,Yes,No,5,Yes,NA,Money,Do not want to change majors,Yes,"Jobs are in high demand, More potential for higher salaries, Stable future",0,5,Never,Never,4,3,Yes,5,Horror,10,2,12
5/9/2023 2:04:24,2,19,CS111,Male,4,M.S.,CS,No,No,3.3-3.6,3,4,5,4,Sometimes,"Sick, Family issues, Transportation issues",4,4-6,TA's office hours,twice,4,N/A,Yes,Sometimes,Sometimes,2-4 hours,Very anxious,N/A,N/A,No,2,0,20,1-3,No,Haven't attended a hackathon,Off-campus housing within Riverside,20-30 minutes,5,5,Night person,2 hours,4,Gym,It helps stimulate my body and releases stress that I have and I also just like to satisfy the way that I look. ,Evening,3,United States,4 years,8,Yes,10,Yes,Yes,6,Yes,15,Advice from family/friends,Current major is too difficult,Yes,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",5,15,Rarely,Rarely,4,3,Yes,3,Comedy,8,1,17
5/9/2023 2:22:46,2,19,CS111,Male,1,M.S.,CS,No,Yes,3.3-3.6,5,3,4,3,Yes,"Sick, Have other things to do",1,4-6,,I do not utilize the above resources,3,N/A,Yes,Not sure,Yes,4-8 hours,Very anxious,N/A,Very anxious,No,3,0,3-4,4-6,Yes,Attended workshops,First Year UCR Residence Halls,10-20 minutes,5,4,Night person,< 30 minutes,2,Gym,UCR SRC,Evening,5-6,United States,Was not involved in HS sports,4,No,7,Yes,No,5,Yes,RA Job,Money,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",2,4,Never,Never,5,5,No,3,Romance,5,1,13
5/9/2023 2:42:34,2,21,CS111,Male,2,M.S.,CS,No,No,3.6-4.0,4,4,5,4,Sometimes,"Don't think it is useful to attend some lectures, Sick",3,10+,"TA's office hours, Professor's office hours",twice,4,N/A,Yes,Sometimes,Yes,10+ hours,Very anxious,N/A,N/A,No,1,1,8,1-3,Yes,Attended workshops,Off-campus housing within Riverside,10-20 minutes,4,5,Night person,1 hour,2,Home,To release stress,Afternoon,2,Burma,4 years,0,No,8,Yes,Yes,8,No,NA,Passion,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,5,Never,Never,3,2,No,3,Fantasy,3,1,17
5/9/2023 3:55:08,1,19,CS111,Male,1,B.S.,CS,No,No,3.6-4.0,5,3,2,2,No,"Don't think it is useful to attend some lectures, Have other things to do",3,0-2,TA's office hours,once,3,N/A,Yes,Yes,Yes,4-8 hours,N/A,N/A,N/A,No,2,0,all,1-3,No,Haven't attended a hackathon,First Year UCR Residence Halls,30-60 minutes,3,7,Night person,1 hour,3,Gym,habit,Evening,6,United States,Was not involved in HS sports,10,Yes,10,Yes,Yes,10,Yes,na,Passion,,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",2,4,Somewhat (2-4 times a quarter),Somewhat (2-4 times a quarter),3,5,Yes,5,Action,7,2,21
5/9/2023 9:32:48,4,22,CS105,Male,2,B.S.,CS,No,Yes,3.6-4.0,4,4,5,3,Sometimes,"Don't think it is useful to attend some lectures, Sick, Feel like saving money when I only have one lecture, Have other things to do",3,2-4,,I do not utilize the above resources,5,5,No,Sometimes,Sometimes,N/A,N/A,1-2 hours,Very anxious,N/A,0,0,3,None,No,Haven't attended a hackathon,Off-campus housing outside of Riverside,30-60 minutes,4,7,Morning person,30 minutes,5,Outside,Personal goals,Evening,0,United States,Was not involved in HS sports,3,Yes,8,No,No,3,Yes,5,Passion,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,1,Never,Never,4,2,No,3,Horror,4,2,16
5/9/2023 9:51:25,3,22,CS111,Male,3,B.S.,CE,Yes,No,3.0-3.3,3,4,3,3,Yes,"Sick, Transportation issues",2,2-4,ARC,twice,N/A,N/A,Yes,Yes,Yes,4-8 hours,Very anxious,N/A,N/A,No,1,0,12,None,No,Haven't attended a hackathon,Off-campus housing outside of Riverside,30-60 minutes,4,9-10,Night person,2 hours,6,Gym,Health reasons and for sport,Afternoon,1,United States,3 years,2,No,2,Yes,Yes,5,Yes,16,Advice from family/friends,Do not want to change majors,Yes,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,4,Never,Never,1,5,Yes,4,Mystery,8,2,12
5/9/2023 10:27:35,2,20,CS111,Female,3,PhD,CS,No,No,3.0-3.3,4,4,5,4,Sometimes,Sick,3,2-4,TA's office hours,twice,3,N/A,Yes,Yes,Sometimes,8-10 hours,Very anxious,N/A,N/A,Yes,2,1,40,1-3,Yes,Made a project,Continuing Student UCR apartment,0-10 minutes,4,6,Both,0 minutes,0,Gym,,Afternoon,4,United States,,8,Yes,7,Yes,No,6,Yes,20,Advice from family/friends,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,6,Rarely,Rarely,3,3,Yes,4,Mystery,7,1,13
5/9/2023 10:33:34,1,19,CS111,Male,1,B.S.,CS,No,Yes,3.6-4.0,4,3,4,3,Sometimes,Have other things to do,3,2-4,Professor's office hours,once,5,N/A,Yes,Yes,Yes,4-8 hours,Somewhat anxious,N/A,N/A,Yes,1,0,10,None,No,Made a project,First Year UCR Residence Halls,0-10 minutes,4,5-6,Night person,30 minutes,0,,,,1,United States,3 years,12,Yes,7,Yes,No,7,No,N/A,Passion,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,30,Never,Never,2,2,No,3,Comedy,7,1,19
5/9/2023 10:34:14,2,25,CS105,Male,2,B.S.,CS,Yes,No,3.6-4.0,5,4,5,3,Sometimes,"Don't think it is useful to attend some lectures, Sick, Family issues, Have other things to do",3,2-4,"TA's office hours, Professor's office hours",once,N/A,4,Yes,Sometimes,Sometimes,N/A,N/A,1-2 hours,Not anxious,N/A,0,0,0,None,No,Haven't attended a hackathon,Off-campus housing within Riverside,10-20 minutes,4,6,Night person,< 30 minutes,1,Home,,,0,China,Was not involved in HS sports,0,No,7,No,No,3,No,NA,Passion,To chase new dream career,Yes,Jobs are in high demand,0,1,Rarely,Rarely,3,3,Yes,5,Comedy,6,1,20
5/9/2023 11:05:40,3,20,CS111,Male,1,B.S.,CE,No,Yes,3.0-3.3,2,3,2,2,Sometimes,"Don't think it is useful to attend some lectures, Feel like saving money when I only have one lecture, Have other things to do",3,4-6,ULA,twice,5,N/A,Yes,Sometimes,Sometimes,2-4 hours,Very anxious,N/A,N/A,Yes,1,none,9,1-3,Yes,Both,Off-campus housing outside of Riverside,20-30 minutes,4,7,Night person,30 minutes,3,Home,To keep myself healthy,Afternoon,3,United States,Was not involved in HS sports,3,No,7,Yes,No,5,Yes,6,Money,Lost passion for current major,Yes,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,4,Never,Never,4,4,No,4,Adventure,7,2,17
5/9/2023 11:12:52,2,19,CS105,Male,1,M.S.,CS,No,No,3.0-3.3,4,3,4,2,Sometimes,"Don't think it is useful to attend some lectures, Sick, Have other things to do",3,0-2,Professor's office hours,once,4,4,Yes,Sometimes,Yes,N/A,N/A,1-2 hours,Not anxious,N/A,2,0,20,1-3,No,Haven't attended a hackathon,Continuing Student UCR apartment,0-10 minutes,4,6,Morning person,2 hours,3,Gym,Maintain overall health and socialize,Evening,3,United States,3 years,9,No,7,Yes,No,4,Yes,,Wanted to do something applied mathematics but not physics,Do not want to change majors,No,You find topics in this field interesting,0,5,Never,Never,2,2,No,3,Mystery,3,2,17
5/9/2023 11:30:05,1,18,CS111,Male,2,M.S.,CS,No,No,3.6-4.0,5,5,5,5,Yes,Sick,5,10+,,I do not utilize the above resources,4,N/A,No,Sometimes,Sometimes,4-8 hours,Somewhat anxious,N/A,N/A,Yes,2,0,2,1-3,Yes,Both,Off-campus housing within Riverside,20-30 minutes,3,7,Morning person,30 minutes,3,Home,To maintain good health.,Evening,2,United States,Was not involved in HS sports,14,No,7,Yes,No,8,Yes,12,Advice from family/friends,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,5,Never,Never,4,4,No,4,Comedy,7,1,18
5/9/2023 11:34:08,2,20,CS111,Male,2,M.S.,CSBA,No,No,3.6-4.0,3,3,5,4,Sometimes,"Don't think it is useful to attend some lectures, Sick, Family issues",2,6-8,TA's office hours,once,3,N/A,No,Sometimes,Yes,4-8 hours,Somewhat anxious,N/A,N/A,No,0,0,0,None,No,Both,Off-campus housing within Riverside,10-20 minutes,4,7,Night person,< 30 minutes,2,Home,Maintaining healthy,Evening,1,China,Was not involved in HS sports,2,No,10,Yes,Yes,8,No,NA,Money,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,8,Rarely,Rarely,5,5,No,4,Science Fiction,7,0,118
5/9/2023 11:53:03,4,21,CS105,Female,2,MBA,BIOENGINEERING (CS MINOR),No,No,3.3-3.6,3,3,3,3,Sometimes,"Don't think it is useful to attend some lectures, Family issues, Transportation issues, Work",4,8-10,"TA's office hours, Professor's office hours, ARC",once,1,3,Yes,Sometimes,Sometimes,N/A,N/A,2-4 hours,Very anxious,N/A,3,2,10,4-6,Yes,Attended workshops,Off-campus housing within Riverside,10-20 minutes,4,6,Both,30 minutes,5,Outside,Health,Afternoon,5,United States,4 years,15,Yes,9,Yes,Yes,6,Yes,20,Money,Do not want to change majors,Yes,Jobs are in high demand,4,5,Rarely,Rarely,4,3,No,3,Thriller,7,2,16
5/9/2023 12:01:02,3,21,CS111,Male,2,PhD,Data Science,Yes,Yes,3.6-4.0,4,4,5,3,Sometimes,Have other things to do,5,10+,TA's office hours,once,5,5,Yes,Yes,Sometimes,8-10 hours,Somewhat anxious,4-8 hours,Somewhat anxious,Yes,1,0,10,1-3,Yes,Both,Off-campus housing within Riverside,0-10 minutes,4,4,Both,2 hours,6,Gym,Health,Evening,0,United States,4 years,4,Yes,10,Yes,No,10,Yes,40,Passion,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,10,Never,Never,5,1,No,5,Science Fiction,10,0,18
5/9/2023 12:06:28,3,20,Both,Male,1,M.S.,Data Science,Yes,No,3.3-3.6,3,2,4,1,Yes,Don't think it is useful to attend some lectures,3,2-4,TA's office hours,I do not utilize the above resources,2,5,No,Sometimes,Yes,8-10 hours,Not anxious,1-2 hours,Somewhat anxious,No,0,0,5,None,No,Haven't attended a hackathon,Off-campus housing within Riverside,10-20 minutes,3,7,Both,30 minutes,0,Gym,UCR gym,Evening,4,United States,4 years,12,Yes,7,No,No,6,Yes,5,Money,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,10,Somewhat (2-4 times a quarter),Somewhat (2-4 times a quarter),3,3,Yes,5,Science Fiction,4,2,12
5/9/2023 12:06:36,3,20,CS105,Male,3,M.S.,CSBA,No,No,3.6-4.0,4,2,4,3,Yes,"Don't think it is useful to attend some lectures, Sick, Transportation issues",2,4-6,TA's office hours,once,2,4,No,Not sure,Yes,N/A,N/A,2-4 hours,Somewhat anxious,N/A,2,2,25,1-3,Yes,Attended workshops,Off-campus housing within Riverside,0-10 minutes,4,7,Night person,30 minutes,3,Gym,to feel good,Afternoon,4,United States,1 year,5,Yes,8,Yes,Yes,6,No,NA,Advice from family/friends,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,8,Rarely,Rarely,4,4,Yes,3,Adventure,6,1,16
5/9/2023 12:27:10,3,20,CS111,Male,2,B.S.,CS,Yes,Yes,3.0-3.3,3,4,5,4,Sometimes,"Don't think it is useful to attend some lectures, Sick, Family issues",3,2-4,,I do not utilize the above resources,3,N/A,No,Sometimes,Sometimes,4-8 hours,Very anxious,N/A,N/A,No,0,0,0,None,No,Haven't attended a hackathon,Off-campus housing within Riverside,10-20 minutes,4,8,Night person,0 minutes,0,,,,0,United States,3 years,2,Yes,8,No,No,5,Yes,,Money,To chase new dream career,No,"You find topics in this field interesting, More potential for higher salaries, Stable future",0,3,Never,Never,4,4,No,2,Action,6,1,16.5
5/9/2023 12:36:43,4,22,CS105,Male,1,B.S.,CS,No,No,3.6-4.0,3,3,4,3,No,"Don't think it is useful to attend some lectures, Sick",2,0-2,,I do not utilize the above resources,5,2,Yes,Sometimes,No,N/A,N/A,4-8 hours,Somewhat anxious,N/A,0,0,3,None,Yes,Made a project,Off-campus housing outside of Riverside,10-20 minutes,3,8,Night person,30 minutes,3,Gym,I rock climb and I think it's fun.,Afternoon,0,United States,Was not involved in HS sports,6,Yes,8,No,No,10,Yes,40,Passion and money are equally significant,Do not want to change majors,No,"You find topics in this field interesting, Jobs are in high demand, More potential for higher salaries, Stable future",0,10,Never,Never,2,2,Yes,5,Science Fiction,8,0,12
5/9/2023 12:54:03,2,19,Both,Male,1,B.S.,Data Science,No,No,3.0-3.3,4,2,5,1,Sometimes,"Don't think it is useful to attend some lectures, Have other things to do",1,0-2,,I do not utilize the above resources,2,3,Yes,Sometimes,No,2-4 hours,Very anxious,1-2 hours,Very anxious,No,None,N/A,10,4-6,No,Haven't attended a hackathon,Continuing Student UCR apartment,10-20 minutes,4,8,Both,2 hours,4,Gym,Get my body right for the summer.,Afternoon,0,United States,4 years,8,No,7,Yes,No,6,Yes,NA,Advice from family/friends,Do not want to change majors,No,"Jobs are in high demand, More potential for higher salaries",0,3,Rarely,Rarely,2,3,No,3,Sports,4,1,16
